OBJECTID,lat,lon,z,tag,species,common_name,individual_id
68,43.00871827,-78.78477538,142.4711969,168,Tilia americana,American Basswood,205545
69,43.00875903,-78.78480548,140.1482198,169,Tilia americana,American Basswood,205546
70,43.00721865,-78.78496767,146.2003762,170,Betula nigra,River Birch,205547
71,43.00721863,-78.78502934,143.2603484,171,Betula nigra,River Birch,205548
72,43.007214,-78.785079,146,172,Betula nigra,River Birch,205549
73,43.007212,-78.785116,146,173,Betula nigra,River Birch,205550
74,43.00721,-78.785165,146,174,Betula nigra,River Birch,205551
75,43.007208,-78.785215,146,175,Betula nigra,River Birch,205552
76,43.007211,-78.785254,146,176,Betula nigra,River Birch,205553
77,43.007207,-78.785294,146,177,Betula nigra,River Birch,205554
78,43.007208,-78.78533,146,178,Betula nigra,River Birch,205555
79,43.007207,-78.78535,146,179,Betula nigra,River Birch,205556
80,43.00685882,-78.78447497,139.4051415,180,Betula papyrifera,White Birch,205557
81,43.00682083,-78.7844984,140.5027796,181,Betula papyrifera,White Birch,205558
82,43.00676354,-78.78448443,139.7666459,182,Betula papyrifera,White Birch,205559
83,43.00672719,-78.78451403,142.4408683,183,Betula papyrifera,White Birch,205560
84,43.0066959,-78.78442775,143.3924628,184,Betula papyrifera,White Birch,205561
85,43.00674803,-78.78455066,139.1547974,185,Betula papyrifera,White Birch,205562
86,43.00662772,-78.78455041,141.5047579,186,Betula papyrifera,White Birch,205563
87,43.00663904,-78.78461655,141.1416619,187,Betula papyrifera,White Birch,205564
88,43.00671958,-78.7846093,141.3675592,188,Betula papyrifera,White Birch,205565
89,43.00669649,-78.78468433,143.575679,189,Betula papyrifera,White Birch,205566
90,43.0069307,-78.78498574,144.3443083,190,Ginkgo biloba,Ginkgo,205567
91,43.00689835,-78.78501798,151.344853,191,Ginkgo biloba,Ginkgo,205569
92,43.006964,-78.78505,151,192,Ginkgo biloba,Ginkgo,205568
93,43.0069439,-78.78552507,151.2156193,193,Ginkgo biloba,Ginkgo,205570
94,43.00685622,-78.78551442,142.989339,194,Ginkgo biloba,Ginkgo,205571
95,43.00673707,-78.78552331,147.5258877,195,Ginkgo biloba,Ginkgo,205572
96,43.00667141,-78.78553492,142.9242326,196,Ginkgo biloba,Ginkgo,205573
97,43.00669874,-78.78559894,144.1844247,197,Ginkgo biloba,Ginkgo,205574
98,43.00679041,-78.78559885,142.6361437,198,Ginkgo biloba,Ginkgo,205575
99,43.00687334,-78.78560262,142.8627953,199,Ginkgo biloba,Ginkgo,205576
